,Sentiment,Text
685,negative,guys please help i tried to smoke some lettuce earlier but now my salad is ruined unhappy
686,negative,can someone pls gift me xayah using pi plssss unhappy
687,negative,instant message still bored unhappy
688,negative,this is jimin to yoongi unhappy
689,negative,my heart hurts sad i hate people
690,negative,can just see the edge creeping in unhappy
691,negative,its not organicthey ll shoehorn it inbut plot character developmentmcu netflix has leswhat support
692,negative,i suddenly miss you ate unhappy
693,negative,biggest problem for paper books is storage unhappy
694,negative,i havent been this early to school since last semester unhappy
695,negative,pierces like a bitch unhappy
696,negative,i think that s one of the hottest part of your body
697,negative,wow this is amazing but i won t be in the country unhappy
698,negative,definitely my arms unhappy
699,negative,i want harry s phonecase sad
700,negative,work at 7 this morning unhappy
701,negative,jungkook looks like he gives the biggest and warmest hugs unhappy
702,negative,ah baba no idea tori olorun may i never be a victim of such case
703,negative,psa remember this when you ask artists to draw for you i d say the same thing for writers but apparently commissi
704,negative,i want to give him everything that makes him happy just to see this smile unhappy
705,negative,i miss jamie boy and we re both sick unhappy
706,negative,what if the one direction band itself is the one who s giving up unhappy
707,negative,damn ify ate unhappy
708,negative,whaaattt
709,negative,don t rt to save a guy s life
710,negative,nooo your hair color is pretty
711,negative,koalas are dying of thirst and it s all because of us unhappy
712,negative,definitely my arms unhappy
713,negative,where s justin i miss him unhappy
714,negative,someone should bring me breakfast to work unhappy
715,negative,thats grim unhappy
716,negative,oh noooo baby unhappy
717,negative,i m so tired unhappy
718,negative,i miss you levi unhappy
719,negative,i left my headphones at home unhappy kms
720,negative,i wish i was meeting oa again unhappy
721,negative,a year ago today is the last time sakho played for us unhappy
722,negative,they would have sustained their fame if they did unhappy
723,negative,i miss him unhappy
724,negative,ich will ned unhappy
725,negative,when your online crush comes to the meet up without their snapchat filter unhappy
726,negative,this is by far my worst day of 2017 since january 8th unhappy crying crying
727,negative,note to self dont get to attached crying
728,negative,mine hasn t been sending stuff unhappy
729,negative,definitely my arms unhappy
730,negative,roc boyz sad
731,negative,i love you but i can 27t be arsed i don 27t know why people keep saying it unhappy
732,negative,no celtics or bruins today unhappy at least sale is pitching for the sox
733,negative,i honestly think that their just trying to get rid of me and make a mockery out of me in my town because i just wont admit it unhappy
734,negative,nooo your hair color is pretty
735,negative,aseek
736,negative,bantay unhappy
737,negative,trying to get in touch with but their numbers appear to be down unhappy
738,negative,need your help guys crying
739,negative,a fish killer going to be pressed younhappy i the hoe of today you were a good person
740,negative,i need lessons to learn how to start conversations with people and keep chatting with them unhappy
741,negative,who hacked me unhappy
742,negative,damn you both
743,negative,i won t be on till later unhappy
744,negative,lets hope a vip does this good deed i want to watch this too they shouldn t have done thi
745,negative,sometimes at night i feel scared and vulnerable crying
746,negative,if you really want to dye it don t go lighter
747,negative,how come i didn t get a reminder email this month unhappy
748,negative,wowwow these are all so cute unhappy i wantt
749,negative,please rt he ll buy me a blinking taehyung headband
750,negative,if i get 900 retweets and 900 likes help me un
751,negative,younhappy i ll keep it jyoust for you
752,negative,damn it isn t available here unhappy
753,negative,it s 10 but also free postage i wish the seller had yanan and yeo one too unhappy
754,negative,don kray denial of normal bi say
755,negative,same unhappy i ve unfollowed so many people ugh
756,negative,it s such a negative pit of unhappiness
757,negative,its ending soon aah unhappy
758,negative,definitely my arms unhappy
759,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca
760,negative,faltan russel why noodle unhappy
761,negative,yeah i am unhappy thank you so much my angel
762,negative,i miss jihoon sad
763,negative,we lost at jacksonville
764,negative,2010 week 11
765,negative,24 20 unhappy
766,negative,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy
767,negative,guess who s not getting a unicorn frappuccino because they re sold out unhappy
768,negative,what if the one direction band itself is the one who s giving up unhappy
769,negative,come back callie gabbie d ghost unhappy i love you both
770,negative,unhappy oh man
771,negative,it kind of feels like a sunburight now right now sad someone please make the nobby things on glasses not slip
772,negative,guess who s not getting a unicorn frappuccino because they re sold out unhappy
773,negative,would really like it if the coandsole versioands and got the update to makr it like the steam versioand
774,negative,hi we tried to call your number but got no response unhappy please share another suitable time and an alternate number cont1
775,negative,sooooo feels like a friday today unhappy
776,negative,definitely my arms unhappy
777,negative,i miss talking to yoyoyou who are yoyou younhappy yoyou can always still talk to me
778,negative,this picture makes me sad unhappy
779,negative,why can t dogs just live forever unhappy
780,negative,i understand that look sad
781,negative,my boyfriend mad cute unhappy
782,negative,i miss minmin crying
783,negative,good morning i had a nightmare and i m still wondering why maddie hates me this is only the beginning of the day unhappy
784,negative,pake unhappy
785,negative,i miss london already unhappy
786,negative,jyoustinbieber can you please follow me on daianeryoufato i ve been trying for too long unhappy i love you so much baby xx april 20
787,negative,2017 at 08 45am
788,negative,deep scratch all the paint is gone you see the bare metal so it needs to be fixed to avoid getting a rusting car soon unhappy
789,negative,when will you go here in batangas sad
790,negative,i miss you more unhappy
791,negative,i only just absorbed that i m not going to get to laugh when he gets 2000 votes unhappy
792,negative,this wasnt meant to sound ano sad
793,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca
794,negative,one year ago today unhappy
795,negative,this song will always be one of my faves unhappy
796,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
797,negative,fuck get me followers unhappy my ratio is amazing
798,negative,mom please stop making cookies
799,negative,they re like 90 calories per piece unhappy
800,negative,i miss the 7 27 costumes unhappy
801,negative,why did she delete the tweet
802,negative,now i need a different pinned tweet unhappy
803,negative,thinks about how tfp soundwave is forever trapped in the void realm unhappy
804,negative,you deserve better hope you ll be okay unhappy
805,negative,mane has been amazing unhappy
806,negative,dammit the effect of the linearts doesn t show so nicely on twitter unhappy
807,negative,but like how long is a while i didn t want him to be back but he puts me in such a good mood so i don t want him
808,negative,we can get pork katsudon at tokyo diner tho it doesn t have egg in it unhappy
809,negative,before anyone else we ass hole unhappy
810,negative,the anniversary of josh s death unhappy
811,negative,so sorry i havent been checking my tweets unhappy we are all here for you
812,negative,aww unhappy i m on coeurl
813,negative,oh no unhappy
814,negative,i liked a video
815,negative,my puppies deserves all better unhappy
816,negative,my husband has a family history with the mafia too but he doesn t know the stories sad
817,negative,wtf canada 2017 and you are still in the 1700s i will never support
818,negative,buy or do anything that supports canada until
819,negative,suuuuuuuuss scared crying
820,negative,one table last night told me i look like a graceful ballerina gliding through tables then another told me i looked like a flash dancer unhappy
821,negative,seem i want to drop this account to wuhyungwon unhappy
822,negative,don t ask two special issues lined up unhappy
823,negative,you got to rest
824,negative,man
825,negative,does anyone have a 7 adapter or 7 earbuds i can borrow for the day left mine in my car unhappy
826,negative,i m staying here in sa unhappy
827,negative,preacher unhappy
828,negative,umma why you do this crying
829,negative,i miss it already unhappy
830,negative,well thanks for stoping by unhappy
831,negative,why you don t like blonde hair unhappy
832,negative,3 that s a lot cheaper and easier than make your own my schematic needs special cables that doesn t come easy unhappy
833,negative,pozuelo formerly of swans and suso liverpool now ac
834,negative,both look so so good at there current clubs shame they never cut it in the pl unhappy
835,negative,gorbachev done w o fear thought bold enough to implement his vision on damp squib unhappy
836,negative,wuut seriously
837,negative,who got to pen today man crying
838,negative,as if this process hasn t been frustrating enough
839,negative,it s just got 3 years longer unhappy
840,negative,roc boyz sad
841,negative,ravel morrison unhappy
842,negative,that is super scary unhappy
843,negative,same unhappy i got a 12h stream coming up for my bday in 8 hours and i m still not sleeping
844,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
845,negative,ps4 mate
846,negative,got to aksis 2nd part and have a cp for him but have never completed it since return on investment dropped laughing out loud unhappy
847,negative,we left it all unspoken
848,negative,we buried it alive and now it s screaming in my head crying
849,negative,dont laugh unhappy meanie base
850,negative,sorry i didn t make it to the book drive yesterday couldn t get outta work unhappy
851,negative,yoongi come back unhappy
852,negative,noooo in here is 6 45 i have classes at that time unhappy
853,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
854,negative,call duration before sex 01 47 36 after sex 00 00 19 crying
855,negative,this is jimin to yoongi unhappy
856,negative,i m all fucked up right now unhappy
857,negative,definitely my arms unhappy
858,negative,last day of the camp tomorrow
859,negative,it s been so much fun and i absolutely love the kids don t want it to be over so soon unhappy
860,negative,koalas are dying of thirst and it s all because of us unhappy
861,negative,think it would drive me mad once the synths and other robots turned up unhappy
862,negative,now i don 27t want to go camp unhappy
863,negative,can i only pick one unhappy
864,negative,but i m lonely unhappy
865,negative,hi we tried to call your number but got no response unhappy please share another suitable time and an alternate number for cont1
866,negative,miss my friends unhappy
867,negative,the one on the left i couldn t see it unhappy
868,negative,not applicablengarag not applicable this unhappy ill find more wonu pictures soon alxmdkcsnx
869,negative,please answer request unhappy
870,negative,koalas are dying of thirst and it s all because of us unhappy
871,negative,most painful thing ever is having feelings for someone you can t be with unhappy
872,negative,no one is offering this poor old lady a seat unhappy
873,negative,lexxxxxy unhappy youre too nice to me instant message really not eek
874,negative,why am i better at pen then pencil dafaqcomoni just want to be a good drawer unhappy
875,negative,mayes unhappy g
876,negative,thanks for that little things like that really help when sleep starts hitting and you don t drink coffee or energy drinks unhappy
877,negative,i miss them already unhappy
878,negative,definitely my arms unhappy
879,negative,oh my god what the heck i m so sorry this was one of my favorites as well unhappy
880,negative,scout photobombed my bluebells photo sad
881,negative,crap hailie won t be there she has a school game and won t make it to middleburg in time unhappy
882,negative,still no sign it s a very small area gardens and it would be very obvious sad quite a few eyes now
883,negative,but no sign
884,negative,my knee is similar colour to leny henry s unhappy
885,negative,okey unhappy
886,negative,in so much pain my eye hurts unhappy
887,negative,don t be buffalo unhappy
888,negative,it s hard to imagine anyone but robin unhappy but still exciting nonetheless
889,negative,at least it s not 80 cad like here unhappy 90 cad with quebec taxes
890,negative,ye i will miss you unhappy
891,negative,22 is old unhappy
892,negative,rl serius
893,negative,i feel so awful today unhappy i don t want to go to my internship
894,negative,so i may be one of those workers who are not properly compensated unhappy
895,negative,i love when people or message me w long messages about how beautiful they find joon like unhappy yes i agree keep going
896,negative,today hasn t been great unhappy
897,negative,used up a month s worth at laugharne weekend sad no wi fi in small carmarthenshire towns
898,negative,let alone for free
899,negative,today is 4 20 which is hitler s birthday unhappy
900,negative,jungkook looks like he gives the biggest and warmest hugs unhappy
901,negative,youngjae looked so sad in the video unhappy
902,negative,babies unhappy
903,negative,i ll check that out i was excited about the backup singers but they were way too backup unhappy
904,negative,first round exit in 15 minutes followed by 45 of tech crying unhappy
905,negative,my puppies deserves all better unhappy
906,negative,resolve is sooo slow on my laptop
907,negative,i don t think i ll be ever to edit long videos here unhappy i ll go try another editing software
908,negative,i hate throwing up unhappy
909,negative,as nani in lies unconscious
910,negative,never mind khushi
911,negative,i know i m not ready to say goodbye unhappy so
912,negative,w
913,negative,hello
914,negative,he s not beating the two favourites here anyway so i ll stop caring about this match
915,negative,sob unhappy
916,negative,i feel like the only environments disable people argument actually excludes many disabled people
917,negative,this is jimin to yoongi unhappy
918,negative,baaaper unhappy
919,negative,roc boyz sad
920,negative,roc boyz sad
921,negative,so
922,negative,last night i had a dream in which i moved to japan and just so happened to see you you denied my friendlies request unhappy
923,negative,so precious i really miss him unhappy
924,negative,oh no unhappy what are you like is it still in shops
925,negative,aando uandhappy i googled it the other day to read the meandu agaiand and it said it was a hoax
926,negative,thank you unhappy i need a certificate signed from god
927,negative,hi mahima we share your concern unhappy please dm us your contact details so that we can get in touch for a detailed cont1
928,negative,talking about tattoos just makes me want my bb8 tattoo more and more but i m so broke it makes me unhappy
929,negative,never want to finish desperate housewives what will i do with my life unhappy
930,negative,not surprised that i have the least amount of followers out of the whole cast sad lol
931,negative,dear attendees
932,negative,i m very jealous of you all unhappy please go see 18 40 green room on sat
933,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
934,negative,ok will do i never had any problems with the old ticket app
935,negative,the new one just seems a bit unstable unhappy
936,negative,we d love to
937,negative,but customs mean we can t send food abroad unhappy we do hope your other birthday dreams come true
938,negative,nan
939,negative,freebet any sport except total mkets on handball
940,negative,basketball etc theyre all restrict threw
941,negative,ikr unhappy oki welcome sam
942,negative,speech to text doesnt understand my accent or irish names unhappy
943,negative,this is jimin to yoongi unhappy
944,negative,there are some rumors going around and videos of his performances on youtube have already been deleted
945,negative,i ve just wrote 30 tweets about but still didn t notice me crying
946,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca
947,negative,but why unhappy
948,negative,definitely my arms unhappy
949,negative,you don t post much lately school unhappy
950,negative,u guys are not noticing me unhappy
951,negative,koalas are dying of thirst and it s all because of us unhappy
952,negative,sorry for being tired on stream will get some sleep and try be more fun tomorrow just wasn t feeling it tonight guys not
953,negative,just now i saw but you did not reply unhappy
954,negative,how to be you piss off crying 3
955,negative,my boo
956,negative,how about me bes jup unhappy
957,negative,andy unhappy
958,negative,lage unhappy
959,negative,i have to wake up at 4 30 tomorrow so my body s gotten a head start by waking up at 4 30 every day this week unhappy
960,negative,wish i had someone to cuddle me right now unhappy
961,negative,hi julie
962,negative,i m so sorry to see your tweet unhappy please could you dm your address details i will look i
963,negative,i m trying to stay positive but i can t help be jealous of princess mia s life all she does is cuddle and eat unhappy
964,negative,russell my phone is just 10 is there a possibility or a chance that you would notice me unhappy
965,negative,am away next thursday unhappy the one after
966,negative,peacefully sitting here reading my book after work
967,negative,watchman comes and threatens me
968,negative,assumes im outsider because of my
969,negative,oh shiiiiid noooooor unhappy
970,negative,oh well never liked clay anyway unhappy
971,negative,unhappy unhappy feeling sick
972,negative,okay lang friend promise meant to be broken hahahaha
973,negative,do you even care at all unhappy
974,negative,one year ago today unhappy
975,negative,i missed you a whole lot unhappy
976,negative,i know how you feel
977,negative,my views have gone done by about 100 monthly unhappy
978,negative,mane has been amazing unhappy
979,negative,senior snaps are starting to get so senti aw unhappy
980,negative,instant message still hoping unhappy
981,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca
982,negative,unhappy sure
983,negative,one of my faves too unhappy i m tying to get it up on vimeo so you guys can still watch it x
984,negative,dang guess my plans are ruined unhappy
985,negative,koalas are dying of thirst and it s all because of us unhappy
986,negative,unhappy but if there ll be 1 silver that d be him
987,negative,red velvet too unhappy
988,negative,my puppies deserves all better unhappy
989,negative,che no critiques unhappy
990,negative,feeling so shit today unhappy
991,negative,beauty
992,negative,i face swapped a cat with a dog and it s really upsetting unhappy
993,negative,miss the rain unhappy
994,negative,this is jimin to yoongi unhappy
995,negative,i m just really soft spoken unhappy
996,negative,playmfs need moodbooster juseyo unhappy jily jelly
997,negative,koalas are dying of thirst and it s all because of us unhappy
998,negative,pake 3 unhappy
999,negative,so precious i really miss him unhappy
1000,negative,bells gone to daddies for to days work work work for me unhappy
1001,negative,damn that s unfortunate for them unhappy
1002,negative,well that s my weekend viewing plans changed unhappy
1003,negative,this is damn theres people who sincerely want to attend bh birthday party but bcs of those people who try for fun make them ca
1004,negative,i only just absorbed that i m not going to get to laugh when he gets 2000 votes unhappy
1005,negative,when i got doubts about my summer happiness why zcc unhappy
1006,negative,mmmmm i guess your not getting much acting work these days you have too much time on your hands unhappy
1007,negative,i wish i could say the gangs all here but daniel s not in this picture unhappy rantoul twp high
1008,negative,oh no andy unhappy
1009,negative,this is what we have in front of us
1010,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
1011,negative,i m sooooo sleepy unhappy
1012,negative,must feel like shit when men can stare down the barrel of a bong as they spend their kid s milk money unhappy
1013,negative,alright looks like back to chores behind the scenes my page hits drop to 1k daily when i don t visit and post unhappy
1014,negative,hi we tried to call your number but got no response unhappy please share another suitable time and an alternate number for us to cont1
1015,negative,long time no chat sad
1016,negative,its not organicthey ll shoehorn it inbut plot character developmentmcu netflix has leswhat support
1017,negative,miss you unhappy
1018,negative,koalas are dying of thirst and it s all because of us unhappy
1019,negative,when will 2ne1 reunite unhappy
1020,negative,bring back the ginger curls
1021,negative,talking to my over driver about where i m goinghe said he d love to go to new york too but since trump it s probably not
1022,negative,3 3 3 please unhappy
1023,negative,and he gave me his pass so like i think a while is never unhappy
1024,negative,i work so much better there unhappy
1025,negative,hi tharakaram that s not the experience we want you to have unhappy please dm us your numbers so that we can get this cont1
1026,negative,this is so damn touching unhappy
1027,negative,my puppies deserves all better unhappy
1028,negative,i want to be cuddled up having someone do that little back trace thing to put me to sleep unhappy
1029,negative,you mean your voice changed unhappy
1030,negative,those nights you re sad in real life and cant sleep unhappy
1031,negative,ohh normally i feel sick when i drink like 3 4 cups of coffee
1032,negative,maybe coffee is not for you unhappy
1033,negative,i miss you crying
1034,negative,honestly college makes me want to curl up into a ball and cry for 3 days straight unhappy
1035,negative,huhu so lucky unhappy
1036,negative,weare are u unhappy
1037,negative,im just having one of those days where instant message like
1038,negative,damn this just sucks unhappy
1039,negative,i ve tried resetting everything
1040,negative,still strict
1041,negative,if i can t fix it soon i ll have to delay them until tomorrow unhappy
1042,negative,you know what really upsets me when a stranger on the internet isn t satisfied with the entertainment i provide him for
1043,negative,hi we tried to call your number but got no response unhappy please share another suitable time and an alternate number cont1
1044,negative,i want to meet you both so bad unhappy
1045,negative,me want please unhappy
1046,negative,in memoriam of alea starbridge unhappy your beautiful voice will never be forgotten
1047,negative,hawhaw crying
1048,negative,what dat unhappy
1049,negative,please read unhappy
1050,negative,i miss him so much unhappy
1051,negative,sorry one bad egg has to embarrass the rest unhappy
1052,negative,i don t want to adult today it s my birthday unhappy
1053,negative,i miss temperance brennan and seeley booth so much unhappy
1054,negative,june 5 june 16 unhappy
1055,negative,thinks about how tfp soundwave is forever trapped in the void realm unhappy
1056,negative,get well really soon jack unhappy
1057,negative,32 for the love of a daughter crying
1058,negative,iiiii would like a boook fuck off unhappy
1059,negative,i m so tired of pretending i m not falling for you unhappy
1060,negative,on the way
1061,negative,although i ll be a little late sad
1062,negative,more than just a picture unhappy
1063,negative,wut i totally missed your bday unhappy happy belated birthday sweetheart
1064,negative,i hope it was great
1065,negative,i love you waaaaay more baby unhappy you re the sweetest and most adorable little angel
1066,negative,i m so glad i have you
1067,negative,koalas are dying of thirst and it s all because of us unhappy
1068,negative,it s been a year haha unhappy
1069,negative,guys this is really serious and i hope you don 27t judge me unhappy
1070,negative,shouldn t keep kenyans complaining on
1071,negative,i can t believe this hasn t been fixed yet
1072,negative,and i can t believe customer service just goes
1073,negative,aw younhappy i miss you too
1074,negative,aww i was trying to cheer you up unhappy
1075,negative,famous sa facebook
1076,negative,but in reality alone and lonely unhappy
1077,negative,sorry for no stream yesterday
1078,negative,i have a cold unhappy we ll see how i feel today
1079,negative,wtf where s the what is this boring show that s on when did this happen this is what happens when i close all week unhappy
1080,negative,back at it again with the matemticas unhappy
1081,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
1082,negative,im hungry unhappy
1083,negative,i can t draw naked women crying
1084,negative,hi ashish we ve an update regarding your concern but your number was switched off unhappy please share another suitable time cont1
1085,negative,u blackmailed me unhappy
1086,negative,why am i not in aus with alisha unhappy imagine the things we could be doing
1087,negative,when jongin asked each members whether they have eaten and felt so wronged because they ate without him unhappy
1088,negative,instant message cramping sad
1089,negative,i hate losing online friends unhappy it s cruel when people deactivate unhappy
1090,negative,guys please help me retweet unhappy
1091,negative,pretty much only the twitters and it doesn t really work out for me sad
1092,negative,the only appropriate ones i have unhappy
1093,negative,well
1094,negative,at least in my case it has not yet completely broken tho
1095,negative,but how about yours unhappy
1096,negative,nope unhappy
1097,negative,i miss temperance brennan and seeley booth so much unhappy
1098,negative,don 27t be surprised if you see me cry today
1099,negative,instant message in a lot of pain and the school doesnt allow my to have my pain meds unhappy
1100,negative,oh jeez i didn t even try taking a crack at it because i expected the build to be so bad
1101,negative,ha unhappy
1102,negative,r i p victoria wood heaven knows we re miserable now unhappy
1103,negative,that was a fun night sorry i missed last night unhappy we really need to sync our calendars with and
1104,negative,when will you notice me unhappy
1105,negative,same unhappy
1106,negative,whats crazy is when i walked through them doors every administration her was there that night so why are her a
1107,negative,and yet if parents invest in child s emotional education by taking child out of school on holiday early that s un
1108,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
1109,negative,i want more orientation unhappy
1110,negative,unhappy they not
1111,negative,yg should have sent them to mcd i want to see them holding the trophy unhappy anyways
1112,negative,wish knock out lang talaga for the new school year are good and cooperative groupmates please unhappy
1113,negative,i miss so much unhappy
1114,negative,same unhappy
1115,negative,hi instant message your friend friend lang
1116,negative,hindi close friend unhappy
0,neutral,pak pm survives removal scare
1,neutral,but court orders further probe into corruption charge
2,neutral,supreme court quashes criminal complaint against cricketer for allegedly depicting himself as on magazine cover
3,neutral,art of living s fights back over yamuna floodplain damage
4,neutral,livid
5,neutral,fcra slap on ngo for lobbying but was it doing so as part of govt campaign
6,neutral,why doctors
7,neutral,pharma companies are opposing names on
8,neutral,why a bicycle and not a cm asked his officer learnt ground reality and a dip in a river
9,neutral,it s 2017 making law to ban and mha is sitting on draft
10,neutral,rivals govts unite to act against sex determination tests
11,neutral,haryana peasants demand justice for right to cattle trade
12,neutral,why schools in calcutta and elsewhere are stunned by imposition plan
13,neutral,why renamed places in
14,neutral,oooh the shame
15,neutral,the trauma of driving without the red
16,neutral,flashing light and paying for parking
17,neutral,now have to learn to live without that flashing red light
18,neutral,bjp leaders in the dock
19,neutral,lose their light
20,neutral,naming game
21,neutral,and more also in epaper
22,neutral,uk parliament votes by 522 to 13 in favour of early national
23,neutral,april 19 1906 nobel laureate pierre curie was run over by a horse drawn wagon near the pont neuf
24,neutral,paris
25,neutral,and killed
26,neutral,india to end culture of sirens on cars
27,neutral,from may 1
28,neutral,only on vehicles gadkari
29,neutral,no from now on cars of pm
30,neutral,ministers transport minister nitin gadkari after cabinet meet
31,neutral,44 feared killed as bus falls into river tons in nerwa area of district police
32,neutral,bsf dismisses constable tej bahadur yadav from service after a court of inquiry bad quality food allegations were base
33,neutral,jawan tej bahadur yadav
34,neutral,who took to social media complaining of bad food
35,neutral,dismissed from service after inquiry
36,neutral,u s to review lifting of sanctions on iran tillerson
37,neutral,huge haul of milk boosting hormone in calcutta
38,neutral,good news from it seems are thriving at valmiki reserve
39,neutral,in sushil modi lists property chain
40,neutral,3 queens take centrestage
41,neutral,a peek into fir against leaders in case
42,neutral,spurned by mom
43,neutral,this baby at calcutta has died
44,neutral,india may make it illegal for social messaging platforms to share personal data
45,neutral,why extradition could take ages
46,neutral,march 20 plus 15 days equals
47,neutral,kp nayar on why discrediting military justice system will not help case
48,neutral,sharad wants gujarat cm arrested for trying to push making meat a communal issue
49,neutral,man shouts at wife in family court and walks out
50,neutral,overburdened says it may not be able to hold for college teachers this year
51,neutral,president backs move to make mandatory up to class x
52,neutral,nationalist trend spreads tightens rules to shield local jobs and keep out indians
53,neutral,visa selfie by cbse s plans
54,neutral,blessing
55,neutral,cloud over and more also in epaper
56,neutral,scotland yard arrests in london
57,neutral,but court grants him bail
58,neutral,liquor baron declared a proclaimed offender
59,neutral,on extradition warrant scotland yard
60,neutral,british prime minister theresa may says she wants to hold early election on june 8 reuters
61,neutral,quoting bbc
62,neutral,supreme court seeks govt s response on a plea to frame national policy to promote and
63,neutral,jk schools colleges shut down after clashes
64,neutral,demands presidential rule
65,neutral,beetle from grips litchi crop in
66,neutral,supreme court asks govt to explain why need pre censorship
67,neutral,us nsa h r to arrive in today to hold talks with nsa
68,neutral,why you should shun water at beaches
69,neutral,having lost kerala bypoll
70,neutral,won t have to keep its promise of good quality
71,neutral,so
72,neutral,is and not to blame for stipend crisis faced by 4000 scholars
73,neutral,the middleman or conman nephew tapped to bribe election commission officials
74,neutral,can air india enforce fines on unruly passengers for
75,neutral,top law advisor backs use of human shield
76,neutral,but some veteran generals see breach
77,neutral,arrest of a conman and bribe charges against nephew churns politics
78,neutral,how cloaked debate in draupadi s robes
79,neutral,draupadi and campuses in erupt
80,neutral,politics
81,neutral,and more also in epaper
82,neutral,cbi books 12 leaders in case
83,neutral,supreme court summons boss
84,neutral,orders sale of slice
85,neutral,sc summons home secretaries of west bengal
86,neutral,up
87,neutral,karnataka
88,neutral,tamil nadu
89,neutral,bihar jharkhand for nice try filling police vacancie
90,neutral,manini chatterjee on why writings are still an indictment of india
91,neutral,why wants paper trail in elections
92,neutral,govt to set up panel to study service conditions of paramilitary forces
93,neutral,amit roy on an potboiler
94,neutral,muslim body lays down code of conduct during divorce
95,neutral,but won t ban
96,neutral,modi s call to ensure justice for women facing evil customs
97,neutral,pm s pitch for sisters
98,neutral,board s stand on an potboiler and more also in epaper
99,neutral,why the always meets this man when he visits eastern india
100,neutral,secessionists in and the next generation
101,neutral,in 7days secessionists
102,neutral,tete a tete with a former president
103,neutral,a dying language
104,neutral,and more
105,neutral,farooq abdullah wins seat with just 4 of total votes
106,neutral,no govt probe yet into video on by army
107,neutral,as learns to follow rules
108,neutral,funds for poor students dry up
109,neutral,from panchayat to parliament seems to be boss amit shah s goal
110,neutral,why the pm may hang out
111,neutral,but you should not
112,neutral,a pm who hangs out
113,neutral,lotus garden dreams
114,neutral,cash lock on jnu students and more also in epaper
115,neutral,7 coaches of meerut lucknow rajya rani express derail near rampur
116,neutral,uttar pradesh video
117,neutral,counting of votes for to lok sabha constituency begins
118,neutral,what calcutta is doing to get mom to accept her calf
119,neutral,to stress dress code
120,neutral,mecca issues picture cards
121,neutral,security on border put at risk by trade
122,neutral,with national body meeting
123,neutral,readies stage for 2019
124,neutral,6 features of extended stay in
125,neutral,bsp boss is not averse to joining forces with non bjp parties
126,neutral,army under fire after alleged tactic in
127,neutral,the untold love story of and ayesha mukherjee
128,neutral,vile tactic in valley
129,neutral,a love story
130,neutral,a giraffe spurns its calf
131,neutral,gandhi champaran
132,neutral,and more also in epaper
133,neutral,man seen tied to army jeep in video from jk identified
134,neutral,while the unit involved was pti
135,neutral,quoting officials
136,neutral,3 arrested in connection with of men on polling day in budgam on april 9 police
137,neutral,hijacked indian dhow al kausar released
138,neutral,good show by pales next to 329 jump in imports
139,neutral,transparency in looking for india s ranking start at the bottom
140,neutral,how to stop and loot a express with just a coin
141,neutral,states rename roads to duck ban on but top court won t step in till after summer break
142,neutral,research seats at hit again as regulator tightens rules for guides
143,neutral,how lost its deposit in rajouri garden stronghold
144,neutral,in bengal trinamool vote share goes up
145,neutral,but surges to runner up slot
146,neutral,3 men die trying to save friend from on
147,neutral,what results mean for others
148,neutral,half full
149,neutral,half empty for cloud over research
150,neutral,breather for highway booze
151,neutral,and more also in epaper
152,neutral,setting up court at home
153,neutral,justice asks chief justice of india
154,neutral,bench to appear before him
155,neutral,dargah trust volunteers in sc to clear in 908sq metre
156,neutral,president clears for pieces of supporting legislation related to
157,neutral,by polls retains kanthi dakshin
158,neutral,retains assembly seat
159,neutral,7 voter turnout in kashmir s re poll
160,neutral,all you need to know about election commission s open challenge to hack
161,neutral,foreign journalists in north korea gather for big event amid tensions
162,neutral,rehearsing for and more in our guwahati epaper
163,neutral,cops dug out these to healers who were buried alive for practising
164,neutral,bihar sets rs25lakh fee for who skip after subsidised education
165,neutral,a visit to retracing trip
166,neutral,why may not show in
167,neutral,did the supreme court chicken out while deciding on
168,neutral,how but not failed govt s birthplace test
169,neutral,10 years
170,neutral,rs 42 crore needed to repair damage to floodplain from event
171,neutral,try hacking india s election commission challenges all
172,neutral,never wanted cows to become a burden on farmers
173,neutral,pawar points out
174,neutral,bounty on savarkar on yamuna damage bill
175,neutral,sita s birthplace
176,neutral,and more also in epaper
177,neutral,20 ias officers in including principal secretary information navneet sehgal
178,neutral,transferred in 1st major shuffle by
179,neutral,centre moves against supreme court verdict lifting shield
180,neutral,crusader pleads for saving
181,neutral,sangh puts up show of strength in
182,neutral,india
183,neutral,to look beyond defence during visit
184,neutral,murder of pune activist fuels fears against revived upa clause in law
185,neutral,in few tears for father of 3 killed by stones
