,Sentiment,Text
4212,negative,quick response offering assistance but lack of follow through not really the service i was expecting
4213,negative,stuck in iad going on 6 hours waiting for a ferry flight from nashville that u can t tell when it will arrive ridiculous
4214,negative,flt 4567 no gate agent no announcements so unprofessional time to go back to delta
4215,positive,thanks kp please also mention the quiche breakfast and tandoori chicken dinner entrees and accompaniments are truly first class
4216,negative,flt 4567 departure time has changed five times in the last 20 minutes why don t you figure out a solution and announce once
4217,negative,bags are still in houston since friday and still have not been reimbursed the baggage fee
4218,negative,who can tell me where they are
4219,negative,flight 4567 have already been cancelled flightled once been trying to get home two days staff being very unhelpful
4220,negative,each flight is worse than last flight attendants don t even know whether the plane is equipped with power outlets at the seats
4221,negative,flight 4567 agent now wandered off pilots came out looking for her went to charge her personal phone which she d been txting on
4222,negative,waiting for flight 4567 to memphis incredibly rude gate agent waited until after departure time to announce delay 1 of 2 rude
4223,negative,i don t see how i need to spend an extra 100 bc of ur equipment failure
4224,negative,i don t need to make any changes i reserved my seats when i bought my tickets and there was an error amp now there are no comp seats
4225,negative,its 2015 and no power outlets at the seats on a 6 hour flight to california seriously this is why airlines are failing pathetic
4226,negative,thanks kp but luckily my transfer has maintenance issues and is still delayed so i didn t miss my transfer
4227,neutral,no not received any e mails in either inbox or junk spam
4228,negative,could you please send me a phone to the refunds department we have submitted our claim through email without success
4229,negative,i m not this person but i ve been sitting in denver for three hours and all i want to do is get on a plane please let me go home
4230,negative,flight 441 on 2 4 was delayed over three hours because the pilot never showed up
4231,negative,i just need to get to ric tonight i ve been in ewr for 24hrs now
4232,negative,which is why my next flights to miami will be on another airline
4233,negative,it is super frustrating that the folks at the united ticket counter in pittsburg aren t honoring their own media rate unitedfail
4234,negative,45 minutes after arrival and no bags for most people ua469 from den to ewr how long should we wait until a ual rep comes here
4235,neutral,what is the policy behind changing passengers seating assignments at the gate
4236,negative,with karen and found her unhelpful and rude called united at the time amp told she could board but karen would not accept
4237,negative,she has crossed 4 prior times with other carriers and no issue karen was rude untrained and unhelpful i also spoke
4238,negative,nexus confirmed that at any crossing via air car or boat she can travel with only nexus
4239,negative,2 employee yelled at her 3 employee stood with others whispering and pointing at her from behind counter
4240,negative,1 refused boarding with nexus nexus confirmed she should not be refused
4241,positive,on a good note the 2 employees i encountered newark were fabulous i was very late flight for my connecting flight and they got me on
4242,negative,u lost my bag and would not refund my bag fee does that make sense to you and yes i already called cust svc they said no
4243,negative,yall tried it with this little bitty plane flying out of boston i hate little planes
4244,positive,doing a good thing holding flight for a few for 11 peeps on late flight connecting flight we ll still make destination on time
4245,neutral,q just purchased ticket to hawaii for trip in late flight march does this mean we will acquire miles based on price or distance flown
4246,positive,stay warm i will be passing through chicago next week
4247,negative,the refund request functionality on   is broken i get a time out error
4248,negative,ny njairports only at newark can you land 15 minutes early but lose all that time waiting on tarmac for a gate
4249,negative,giving up on your direct flight from iah to honolulu 3rd attempt in 3 years 3rd delay 7 meal voucher wow customer service
4250,neutral,just played the most bizarre safety video i ve ever seen
4251,negative,nearly 48 hours late flightr and still no idea where it is i will never fly united again if i can help it
4252,negative,1591 had wi fi broken on plane had same outage on 1618 on friday how can southwest get it right on every plane but united can t
4253,positive,wifi onboard 737 800 far superior in pricing and performance user perceived bandwidth and late flightncy to recent gogo experiences
4254,negative,second day amp attempt trying to leave iad amp i m on another plane delayed for mechanical issues over an hour delayed
4255,neutral,is there a direct number to call to request a refund its telling me its not valid as i changed the ticket no number on site
4256,negative,when is my plane coming been delayed for almost 7 hours no plane
4257,negative,not fast enough no excuse for service between big hubs to have such outdated craft southwest has wifi this is awful
4258,positive,thankful for great service in newark seats fixed and i was seated with my daughter fab landing in fort myers
4259,negative,my mother s flight was delayed from phl ord we re on our way to nrt and the gate refused to upgrade a platinum blegh
4260,negative,is late flight again everyone braved the weather and 40 passengers are waiting for a flight crew really
4261,negative,miserable trip lost bag sat found mon lost again shipping 2nd day ground tues might have it for return flight home
4262,negative,spending the afternoon mia not your fault no lounge very inconvenient
4263,negative,costumer service sucks waiting for a week for a response
4264,neutral,is there a way to get a copy of feb s edition of hemisphere magazine with out flying
4265,negative,i somehow think i m going to be stuck paying for a hotel room in denver without winter clothes on my dime i guess we ll see
4266,neutral,i normally ask people to put on headphones but not toddlers maybe planes should have a kid section near the back
4267,negative,of course i need help i ve been dming you ladies and gents all day your only solution is hope for the best and lax
4268,neutral,confirmation number njv4bp all i need is email confirmation of flight from nyc sfo feb 4
4269,neutral,is changing its mileageplus program winners and losers   airline travel loyalty rewards
4270,positive,brandi zabsonre in denver deserves a raise for bringing delight into a terrible travel situation big ups
4271,neutral,thank you and next flight to durango then driving to farmington new mexico for work but hitting the slopes in durango
4272,negative,i was denied use of a rear facing car seat on ua5025 an erj145 can you confirm the actual policy
4273,negative,you better hold my flight to tucson 5237 just landed in houston after an hour delay for some minor computer problem
4274,neutral,thx stand by united rajuchinthala i know it s frustrating and i do appreciate your patience while we try to get you on your way jh
4275,neutral,roundtrip tickets to nj are dramatically cheaper through virgin pretty pricey via united can you match them
4276,negative,dropped off a luggage at iad over 2 months ago for repair from damages haven t heard anything about it since when do i get it back
4277,neutral,that s what i thought thanks for the clarification
4278,negative,feck guys stop cancelled flightling flights from ewr to ric the weather is fine i both locations
4279,neutral,ua has been rolling out improvements too we think hoping they ll catch up soon meantime ana is our preference
4280,positive,flyana official pleasantly surprised to find ana has made major upgrades on their transpacific route in flights planes and service
4281,negative,step 1 cancelled flight flight step 2 don t notify customer step 3 charge them for food while they try to survive their wait brilliant
4282,neutral,i need my confirmation number can you give it to me
4283,negative,besides no small degree of self interest we take that route several times a year amp would hate to be in that situation
4284,negative,united we rebooked but casleah and i had to split up and take different flights because a pilot ran out of hours frustrating
4285,positive,no worries about the tweets we all should do what we can to make sure we as in your tag line fly the friendly skies
4286,positive,jsumiyasu i am thankful to the united ground staff who put me in the last seat on the last flight out home late flight is still home
4287,positive,i appreciate the follow up
4288,negative,that s the gist of what the flight attendant told her
4289,negative,btw is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation
4290,negative,what took me aback was the response by the flight attendant who put the responsibility squarely back on passenger s shoulders
4291,negative,no but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business
4292,negative,sat at airport for 5 hrs still sitting at gate sigh
4293,neutral,actually we did not consider she might have made a mistake she did not complain beyond that she indicated it on her reservation
4294,negative,gold star for united change my flight miss all connections but can t accommodate me until a much late flightr arrival time not happy
4296,neutral,all day travel swag ijustwanttosleep
4297,positive,thank you for the new club at o hare very comfortable you made the difficult weather days proficient and enjoyable
4298,neutral,filled in the form you sent the link to on 29 1 15 and then either 9 or 10 2 15
4299,negative,did not let me get on the iah hnl direct now weather delay for my sfo leg stop being reactive and be proactive
4300,negative,bad coffee but the juice is ok getphilz united terminal sfo airport
4301,negative,why am i mot getting my refund
4302,negative,united nothing apparently i ve flown w you 4 times in last 3 weeks and 3 of those experiences incl today were clusterfucks
4303,negative,didn t get her name she was not in our group she was sitting behind us think it was window seat 40 we only overheard
4304,negative,you know what the united club needs power moar power insufficient outlets for the roadwarrior ord
4305,negative,thrilled to have my carry on checked against my will by two nasty gate agents only to see an entire empty bin when i boarded last
4306,negative,what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business employeerelations
4307,negative,ridiculous to fly outdated 757s anywhere much less btwn iah and sfo no power ports no wifi no personal entertainment torture
4308,negative,last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies
4309,negative,broken entertainment system on my 8 hour nyc flight terrible cabin crew service and online complaint form won t work hopeless
4310,neutral,how much does it cost to check in an additional bag traveling from newark to glasgow thank you
4311,negative,united call my work and tell them it s your fault i m late flight
4312,positive,new apple cr pe amazing live from ua1207 really nice crew too americanair has biscuits ua needs them 2
4313,neutral,clicked on the link and got this confused
4314,negative,is officially the worst most delayed and least helpful airline i have ever had the misfortune of flying on
4315,negative,i have items of sentimental value that i m heartbroken are missing
4316,neutral,even though technically after i land i will be silver
4317,negative,still waiting for a reply
4318,negative,please see a flight attendant for what why isn t there enough room for over head bags i carry on to save time
4319,negative,wanted to get my bag benefit but instead get 25 pricing on all three tickets when adding a card mp visa is only option united
4320,negative,i tried 2 dm it would not go thru not sure why
4321,negative,link to current status of flights airports fly bwi ewr mco this morning yet can t yet tell what any problems are except see snow
4322,negative,i like delays less than you because i m the one on the plane connect me with a voucher
4323,negative,and don t hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion
4324,negative,the we got into the gate at iah on time and have given our seats and closed the flight if you know people is arriving have to wait
4325,negative,yes we waited in line for almost an hour to do so some passengers just left not wanting to wait past 1am
4326,negative,still waiting just hit one hour
4327,negative,although i m not happy you cancelled flighted my flight home tomorrow phx to atl then dca i am happy on how easy it was to rebook
4328,negative,hello been on hold for extremely long time have confirmation amp can t get boarding pass have tried numerous times
4329,neutral,i m teaching new travelers how to research budget amp save for a trip today
4330,negative,very frustrated for the loooooong wait time to speak to a live person cannot get boarding pass for flight tomorrow
4331,negative,still no update text 2053 amp still no response to email fr1 5 2015 sr 256746438028 feel like yr losing customer service care
4332,negative,your agents were the ones who were rude and unhelpful and prompted my initial tweet this is so easy to fix
4333,negative,my wife had been in group a in prev flight but got bumped for some reason alone with two kids at least put her in group a
4334,negative,my flight was delayed 4 hrs i m 5 months pregnant amp supposed to be caring for my mom whose in surgery now very upset
4335,positive,thank you so much completely made things right
4336,positive,love them always get the best deals
4337,neutral,can you follow me so i can send you the info
4338,negative,been on hold 34 min so far trying to book seat for my infant price increased 42 in meantime what do i do
4339,neutral,once again on glassdoor s best places to work snagging 15 overall notsurprising luvthem
4340,negative,poor performance all around paid for express checkin weeks ago and can t even leverage it bullshit
4341,positive,thx make it right help meagan fouty brancato fl 2771 dfw gate 4 preboard w kids b4 group a please please
4342,neutral,can you update me on the emergency landing in jacksonville right now parentsonboard
4343,neutral,i have been on hold for over 28 minutes please help
4344,neutral,can y all develop ding for a chrome firefox browser extension that would be swell
4345,neutral,can take u to midway chicago march 8th april 6th can t make it then americanair can get u to fly2ohare year round flypbi
4346,negative,logically you would think you check all that before you have people board i could ve drove home in the time i ve been waiting
4347,positive,thanks southwest for saving our trip my sweetheart isn t going to miss seeing altonbrownlive thanks to y all sohappy
4348,negative,can you have someone call me back i have been on hold two times today for over 20 min and still haven t gotten through
4349,neutral,did you know that suicide is the second leading cause of death among teens 10 24
4350,positive,never mind i moved my flight to tomorrow thanks for the help
4351,neutral,southwestair she needs a wheelchair at the gate for sure what options does she have
4352,positive,i managed to get sorted out over the phone good luck dealing with the snow in texas
4353,negative,has grounded 2 flights b c of equipment problems amp been rude to my wife traveling alone w our 2 young kids never again
4355,neutral,just dmed you my confirmation number
4356,negative,oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned
4357,positive,weather bc of system outage hopefully everything goes smoothly now thank you for follow up
4358,negative,belt issues been a rough day for them worst part is traveling with 9 month old and having to wait outside in 85 degree
4359,neutral,oh is it only in atlanta
4360,negative,they were moved to the 210pm flight 4649 main concern now is luggage arriving with them they were told that sw was having
4361,positive,i used to always fly southwest
4362,negative,got my bags 35 hours late flightr and an offer of 50 to go pick them up taxi costs 65 one way spent 200 for the inconvenience
4363,negative,thx but i ll be expecting a credit for this leg
4364,neutral,sure please follow me so i can do so
4365,negative,appreciate y all getting the gate issue figured grr plenty open gates yet we sit and wait on tarmac
4366,neutral,sent
4367,negative,20 minutes on hold waiting is ridiculous
4368,negative,have u seen any of the messages the past hour
4369,neutral,i m following now
4370,positive,thank you for your awesome flights sweetheart got screwed on flyfrontier managed to scramble and get a sw plane today
4371,positive,thanks so much
4372,positive,round trip tickets just arrived for our auction at the post masters invitational thanks southwest
4373,negative,went to purchase a flight that i began processing not even 4 minutes earlier and the points had gone up any help
4374,negative,i m so upset that my luggage was damaged and the rude employee at the laguardia airport didn t help
4375,positive,tv stream means i get to spend my flight watching 1999 and 2011 women s world cup finals throwback bestflightever
4376,neutral,what is the status of the bag check area at ffl
4378,positive,i agree rt 9news one airline is the fly away favorite at dia 9newsbusiness
4379,negative,its flight 218 of that matters to you all hell next we all won t get our luggage properly transferred facepalm smh
4380,negative,your phone service sucks
4381,neutral,my flight at bwi is delayed and i will miss my flight in denver is there a way to find out if they will hold the plane
4382,positive,airport snow removal method 22 keep up the good work folks this is where cessna s become 747 s
4383,negative,are people in an exit row still supposed to give their verbal approvals i was never asked on the flight i m on
4384,negative,and now our arrival is delayed nearly 5hours yeah an entire day in an airport is not my idea of a stress less vacation fail
4385,negative,oh and now your company has caused us to lose an entire day of our vacation in cancun de boarded waiting for another plane
4386,negative,trying to change my reservation been on hold for 45 minutes and can t do it online was directed to call help
4387,negative,my first call got dropped waited 15 mins for the second but ran out of time will try again late flightr no way to do this online
4388,negative,yo i m trying to make a change to a reservation but whenever i select the flight it says unable to price please help
4389,negative,great now we are all de boarding perfectly plane is shot fml plans are screwed thanks for nothing southwestair
4390,neutral,teyana taylor performing medusafridays 2 27 free till11     themenofbusiness
4391,negative,had to let us off the plane bc the toilets done even work there goes my family vacay to playa del carmen mexico neveragain
4392,negative,thanks for the apology unfortunately i have had one too many bad experiences and will no longer be flying with southwest
4393,negative,i was told by customer service that only customer relations can extend the expiration date of my unused travel funds
4394,negative,smiles1307 over two hours now ugh we should all get vouchers this is inexcusable esp after a pre flight check that was ok
4395,neutral,i have a 5 30 flight out of birmingham tomorrow night can i reschedule it for an earlier flight because of the expected snow
4396,neutral,you have to follow me back so that i can dm southwestair
4397,negative,horrible experience passenger of size was 1 3 in my seat offered 50 voucher for this by christine c
4398,neutral,3rd time flying southwest in two years have another trip back to mx on october
4399,negative,yes very much so i was looking forward to using your airlines for future flights but never again
4400,negative,need to learn how to treat people with respect and just a little dignity fail
4401,negative,redeem points packages magically gone by time we finally got through 10 01 felt like baitandswitch
4402,neutral,done
4403,negative,i think i get a faster response on twitter than i do when i call what s up with that
4404,neutral,any idea when the winter advisory will be posted for atl for tomorrow 2 25 i d rather get to phl tonight
4405,negative,then had to watch the staff check off each passenger on the list twice because the first time they forgot look at ids brutal
4406,negative,was on flight 2373 from chi buf last night almost 2 hour delay cuz someone got on the plane without a pass sounds safe 1 2
4407,positive,thx for your quick response and action bf will make good use of the voucher satisfied happycustomer
4408,negative,nothing you can do to help us restore some barely expired rapidrewards points
4409,negative,rapid rewards program sold me short lasttweetaboutthis but still disappointed
4410,negative,freezing in the plane
4411,negative,where your airline people screwed up our boarding passes on the way back from puerto vallarta this is horrible and we are
4412,negative,from groupa to group c we have never got to sit next to each other on any south west flight not even on our honey moon
4413,negative,flight to atlanta getting cancelled flightled and then had to re schedule on the phone for over 1 5 hours with a rep this bumping us
4414,negative,due to an apparent water issue that checked out fine during the checks my husband and i already had to deal with our first
4415,negative,u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure this is inexcusable
4416,negative,do you know that your lost baggage portal   doesn t work on mobile it s a 404
4417,negative,if you re going to charge for wifi do us all a solid and make sure it doesn t take the length of the flight to open a page
4418,negative,your website has now reverted my 1st flight to only a 5 minute delay but it s changed so is that reliable information
4419,negative,swa helps the hotel industry i always book flights a day before i need to be somewhere as swa consistent cancelled flights delays
4420,negative,unfortunately once the call was answered service was horrid swa was the role model of finger pointing amp excuses disappointed
4421,neutral,barzegar charges tourists 700 euros a night for their stay in the tent village he runs
4422,neutral,can you please make sense of the companion promo how to we set it up
4423,neutral,unfortunately i don t even have that my phone died before o had a chance to grab it it was from oma to san from 3 27 4 2
4424,neutral,live in atlanta but cant enroll in your atlanta companion promotion error every time can you help also sent email thanks
4425,negative,frustrating indeed especially when no one knows what the issue is
4426,negative,on hold with customer service you may be quicker i rebooked trip for a lower fare where did the difference in go
4427,neutral,that was chantilly paris france
4428,negative,and thx for not responding
4429,negative,i booked a flight on my phone and then never got a confirmation email how would i go about getting that
4430,negative,supposed to take off almost 2 hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze
4431,negative,how come i m not getting my points after i buy from the rapid reward shopping site
4432,neutral,hey i m flying from tampa to denver today and i want to know if there will be tv s in the seats like jetblue
4433,neutral,and carol thrower are passengers fort lauderdale airport
4434,negative,mins and no answer my wife and baby need to get on that flight she arrived 2 hrs prior please help venetia crook
4435,negative,my wife and 9 month old might miss flight and next direct is 210 pm mother in law been on hold with customer support for 30
4436,negative,flight 1614 fll to atl my wife traveling with infant line to check baggage 200 people long due to your computer system crash
4437,positive,thanks sent a dm to you let me know if oyu need any additional information
4438,negative,hey friends when i phone the a list number your ivr hangs up on me multiple times not sure how to proceed
4439,positive,strives to be customer centric in everything they do communications advertising customer journey etc anamarketers
4440,negative,la always has traffic but this is insane i can t be the only one with this issue on flight 1625
4441,negative,insane traffic in la trying to call you all to re schedule flight but been on phone for 20 minutes and nothing
4442,neutral,airline trouble amp not getting satisfactory customer service contact   we negotiate resolutions for you
4443,neutral,hey southwest help me find a flight from nashville washington dc or raleigh for under 150 on march 15 please
4444,negative,why can we no longer change trips with a companion online been doing it for years now get message can t be done online
4445,negative,adding rr number to a marriott stay is too hard won t take rr number at checkin out and marriott phone cs not helpful
4446,negative,nor spiritairlines fly to toronto you re killing me smalls
4447,neutral,thank you
4448,neutral,traditionally used sledge hammer low taking share from driving now scalpel approach through data science anamarketers
4449,positive,customer centricity is knowing people anamarketers
4450,negative,i have used you guys for most my travels but this last experience i will never use southwest again worstcustomerservice
4451,neutral,is america s largest airline by passengers carried wonder if this is b c they have a customer service bible anamarketers
4452,negative,vipliveinthevieyard first time we tried to redeem pts for anything it really did not go well disappointed
4453,positive,ok thank you i hope so too
4454,negative,is there a way to receive a refund on a trip that was cancelled flight online instead of calling your phone lines are super busy
4455,positive,intuit jhamilton2007 4 moms 4 careers 1 day trip to la intuitlife leanin   southwestairlines
4456,neutral,is there a resource to check delays cancelled flightlations out of love field flying out tomorrow am and stressed about weather
4457,negative,switching planes due to mechanical problems how does reboarding work was a49 now at end of long line stuck in middle
4458,negative,why when i booked via phone after calling the a list preferred didn t my kta get added to the ticket must i use web
4459,negative,tried for vip live in the vineyard but yr site went down by the time i got in 2 redeem pts those packages gone
4460,neutral,an oscar worthy entrance into la
4461,positive,is the best airline hands down amazing customer service bags free and affordable flights happycamper
4462,positive,thanks to ella mae at las counter for going above and beyond to help us get back to abq after our flight was cancelled flightled
4463,neutral,phlairport will flight 2155 that arrives at e11 be a penguin plane
4464,positive,thank you for taking good care of people with als   kevinswan alstdi a life story
4465,positive,has the smoooothest flight attendants southwestsmoothie
4466,negative,why was southwest only airline to cancelled flight all flights from charleston was 7 50pm flight cancelled flightation really weather relate flightd
4467,neutral,stepup makeitright re you best or just money hungry wewillsee
4468,negative,thanks for the text but not exactly timely 8 data throughout issues today maybe
4469,negative,i called the 800 and the rep there was pleasant but less than helpful told me i was sol train them for consistent cx
4470,negative,25 year customer but i am 6 3 and those lost 2 or 3 inches really hurt every time the person in front shifts he raps my knees
4471,neutral,was only less than 3500pts but it helped had partnerrewards incoming but not fast enough to keep pts from expiring
4472,neutral,wife s rr pts expired a few days ago were planning on flight booking problems trip today anything you can do for us on a tight budget
4473,negative,would be great if i atleast was next to my husband who is flying in the same reservation
4474,negative,why is customer relations still not open in texas
4475,positive,thank you for the tip
4476,negative,i hate evolved seating knees in the seat pocket
4477,positive,thanks to your team for dealing with flight 1700 to houston
4478,positive,bumped me to preboard on both flights because i m fat whatever the reason thanks
4479,negative,i heart southwest but those commercials aimed to satisfy a nano smattering of travelers to few destinations
4480,neutral,i urgently need two receipts sent but cs is closed can you help
4481,neutral,sent
4482,negative,any etd for swa1004 from phl appears delayed but no info available at gate
4483,negative,can you tell me why you cancelled flightled the flight vs delay
4485,neutral,cb how do you know southwestair
4486,negative,no need i know the status you cancelled flightled instead of delaying the flight
4487,negative,weather where and at what time cancelled flighted no i can t because meeting was today
4488,neutral,the flight isn t that empty is this rude or not
4489,positive,we left ipad in a seat pocket filed lost item report received it exactly 1 week late flightr is that a record unbelievable
4490,negative,when and why was flight 4471 from msp cancelled flighted this am
4491,negative,i luv y all but please stop overheating your planes second flight in a row that feels like a sauna
4492,neutral,i was not the one traveling i was asking for my sister who was waiting on my nephew in midland flight eventually landed
4494,negative,i have asked lindsey to call me instead of dm like a schoolgirl but so far no call getting tired of typing little notes
4495,negative,give us some more clever advertising about bagsflyfree is that because badpolicy allows you to cheatcustomers
4496,negative,it s just the principle it s hard to get mugged amp not be upset you took my money amp didn t give me anything wrongiswrong
4497,negative,customer service you shouldn t use those words wasted my time and took my money badbussiness theft
4498,negative,three hour flight to orlando and no wifi uncool firstworldproblems
4499,positive,loving the new planes and the lighting only wish windows were larger
4500,negative,i would like to ask that his bags be picked up at pit amp taken to his hotel by the airport will someone contact me
4501,negative,customer service at fll bwi and pit have been terrible no one knows where his bags are his is on a job with no clothes amp gear
4502,negative,after multiple attempts i was finally able to submit them late flight last night
4503,negative,up at 4am and arrive to find it already cancelled flighted no options so miss my meeting you might know but don t show it
4504,neutral,it s a new day and a new chance for you to do the right thing it s never too late flight to be honest
4505,negative,darn i bought it on the wrong device no way to switch i m sure
4506,neutral,quick question i bought wifi for my phone do i have to buy it again on my tablet i have 9 hours left on my trip
4507,positive,cool shot of the moon and one of your fleet
4508,neutral,hello swa who is your poc for partnerships with nonprofit organizations in bwi area
4509,negative,hey remember that time you lost my husbands bags i do filmjobnoequipment nowarmclothes
4510,positive,looking forward to flying once again with swa on friday the luv airline dtw mdw tus
4511,positive,i love this airline so much thanks so much the service is great the snacks are amazing everything is outstanding thanks
4512,negative,you need to redeem yourself i lost respect for you tonight lostbags filmjobnoequipment
4513,negative,way to fuck up and lose c istudios bags my husband has no warm clothes and no equipment youdidit notcool
4515,negative,wifi stays connected about the lifetime of a higgs boson
4516,neutral,forget wedding fairs how about discounts for nonprofits we donate part of our worth every single day
4517,negative,when will your phone agents be able to give the correct departure times for cun when can we checkin online for international
4518,negative,making me miss thebachelor right now wah
4519,neutral,please lower my plane flight by like 100 bucks thanks floridavacation
4520,positive,had a great flight to and from cabo last week with my family smoothflight frequentflyer
4521,negative,we can let bags flutter because we charge travelers that had to change dates fullprice and we don t let them travel
4522,positive,on that late flightst ad makes me happy to be flying you in a few days bethonors
4523,positive,the fact that u see black history month 12 months a year is honorable we will be an economic base for corp like u in future
4524,neutral,should offer cdn border towns incentive to fly since exchange rates are hurt customerappreciation gaincustomers keepem2
4525,positive,what an awesome flight dallas 2 ny virgin america refused bc of my child s peanut allergy but u guys didn t thanks
4526,negative,won t let me send a dm because they don t follow me lovedflyingwiththem notanymore wrong badpolicy
4527,neutral,reference 261093929756
4529,neutral,do you know the reason flight 336 from dallas to midland was diverted to lubbock was suppose to be direct to midland
4530,positive,in flight wifi tmobile wifi calling makes for the best combination who doesn t love texting 40 000 feet in the air d
4531,negative,has become like every other airline crooked i can t believe they are taking over 500 shouldwearmasks shocked
4532,negative,here is my conf f8neqm my flight was delayed for 3 hours while my friend waited for me on her bday please follow up
4533,negative,twitter cust svc rule 1 dont say if we fell short i just told u u did 2 if u cant solve problem don t say anything at all
4534,negative,disappointed in the service i ve received checked in online checked my my flight status online checked in at the airport
4535,positive,great day in the air
4536,positive,thanks
4537,positive,thanks for two smooth safe and fast flights boston houston luvswa
4538,positive,i really love your customer service lou ann in phx rocks thanks sw be ourguest
4539,neutral,see you in atl southwestair congrats to our destinationdragons winners ready atlanta
4540,neutral,if i am enrolled in the atl companion pass offer and booked 3 flights already before may 17 when can i start using the pass
4541,negative,very disappointed in your customer service right now definitely not feeling the luv what s worse 2nd time this winter
4542,neutral,will do if you follow back i can dm that info
4543,positive,katie gate c47 denver international fantastic customer service helping me and 2 new flyers thx for amazing staff
4544,negative,kudos to bag handler at dtw gate 21 at 7 10 pm ran to keep bags from hitting ground in 9 degree temp
4545,positive,crew on flight 206 is awesome tell them i sent this tweet and maybe they will give me free wifi canthurtasking
4546,positive,thankyou
4547,neutral,how much is ur wifi fam
4548,neutral,imaginedragons i tried it s okay
4549,positive,happy to enter your sweepstakes again nutsaboutsouthwest
4550,positive,thanks for the great customer service today
4551,neutral,is the vinyl part of the prize too
4552,positive,beyond ready
4553,negative,when i called i was told my bag had made it to phl but still has not been delivered or any call from the delivery service
4554,neutral,looks like brooding skies out of ont this evening
4555,neutral,no monkey business we luv swa mdw2mci homeandreadyfornexttrip
4556,positive,is my favorite airlines i ve never had issues with them plus there crew is entertaining
4557,negative,should be a way to give voice to customers who pay for services that are not satisfactorily delivered justsayin
4558,positive,your flight attendants are really funny the sass is giving me life
4559,negative,i am genuinely surprised you all don t upgrade people when you cancelled flight their flights or at least put them in a comparable spot
4560,positive,following thank you
4561,negative,would someone please dm me the customer relations number the website has only customer service
4562,negative,this is the second time in a row i haven t received text updates about flight time change don t offer if you won t use it
4563,negative,you cancelled flightled my flight and now i am in the back of the queue and you want to charge me 200 for business class stay classy
4564,negative,hope your flyers get a credit of some sort for all the delays and cancelled flightlations shittydeal notimpressed
4565,negative,taylorlumsden taylor u gotta love swa responsiveness at the  least huh
4566,positive,it s all good thanks
4567,positive,thank you
4568,negative,now you love me after taking my money and only taking me halfway home sorry too late flight
4570,negative,wifi is so slow what is the point having one if can t get on the internet ugh
4571,neutral,i have a few questions about flying with my maltese puppy can you dm me
4572,neutral,any word when the customer relations department will open back up
4573,neutral,can you tell me if flight 805 from mdw fll tomorrow 2 24 is at full capacity i m hoping for a little bit of extra room
4574,neutral,just left there friday
4575,positive,oh no worries just have never seen that before until today i mean it is a great card
4576,positive,thank you thank you thank you my last attempt to win destinationdragons tickets was a success i could not be happier
4577,positive,flight 1700 phx to lax wheels stop glad to be home thanks to the professionals both up front and in the cabin
4579,neutral,could you maybe hook fuyukaidesuyo with some imagine dragon tickets tonight shes a hugeeeee fan amp would really love to go
4580,negative,hasn t evennotified us that theflight isdelayed via email text phone call if we wererunning late flight i would be pissed unreliable
4581,negative,can tweet through the weekend bad weather but closes down customer relations center to process refunds for cancelled flighted flights
4582,negative,stop cancelled flighting my flight i have us history tests to take and chemistry things to learn do you not understand
4583,positive,2 22 mdw 2 san flt 1687 attendant melissa was awesome fast smiling great after weather cancelled flight day b4 it was welcome
4584,negative,been all up and down the area where the pic was taken and don t see any albums
4585,neutral,i enjoyed a call from my good friend he s flight booking problems his flights elsewhere as i tweet one at a time i will tell as many as i can
4586,positive,thank you great customer service so far accidents happen i understand hopefully everything works out
4587,negative,my question is this what s up with the crazy boarding procedure does the confusion prevent fistfights over the good seats
4588,neutral,opened online applications for fall 2015 intern positions throughout the company apply via
4589,neutral,honesty should always be the policy
4590,positive,thanks for the quick response should i call daily it wait the 5 days
4591,neutral,i knew i was correct
4592,neutral,briughy me to comclassic aif2015 amp so much more with the agcommunity
4593,neutral,any deals to orlando in april may
4594,neutral,magazine feature desk plants increase productivity by 15 luvswa healthbenefitsofplants gardening
4595,neutral,new marketing song   let us know what you think
4596,negative,prove it cuz the southwest people here don t even know why it s behind schedule
4597,positive,seeing your workers time in and time out going above and beyond is why i love flying with you guys thank you
4598,negative,u were bae until u lost both of my bags and had no clue where they were or what happened to them for 36 hours
4599,negative,prove it
4600,positive,travel agent darrel here at love field hosting a paper airplane contest to entertain all the children was so awesome to see
4601,positive,big kudos to your staff today at dallas love field for lifting everyone s spirits today with all the delays and cancelled flightlations
4602,positive,it s not fun having a delay from nashville to las vegas but the crew at the gate c9 desk has been awesome patience luvswa
4603,negative,thinks that a 100 voucher makes up for spending 4 hrs on a plane and landing at the same airport we took off from really
4604,positive,never got to the strip that fast before stoked for special imaginedragons show tonight thx again southwestair
4605,negative,the problem is apologies don t help results matter and it s proving impossible to find anyone who is interested in that
4606,neutral,no fare giving out clues in route now
4607,positive,telling my fam in vegas now
4608,neutral,how many tickets are left
4609,positive,thank you
